STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
South Carolina,8991,5038,141306,86724,248.53,21645151,2578
South Dakota,1018,369,7782,5191,329.73,1639473,104
Tennessee,26512,12091,212052,194510,215.29,41389934,4654
Texas,94306,36451,853924,734120,411.26,281318681,23082
Utah,10053,2677,46288,37745,422.58,15478268,1103
Vermont,2192,1094,26404,27510,372.59,8403542,395
Virgin Islands,589,138,3204,3344,486.91,1575723,1192
Virginia,35000,20436,188547,165203,287.39,46213830,4972
Washington,101803,23258,295066,235806,481.49,99674889,6149
West Virginia,6675,2600,58788,52325,261.16,13063342,1221
Wisconsin,36015,3819,228330,175448,294.67,44062566,3468
Wyoming,1646,653,11192,11987,407.57,4788176,330
United States,2287300,658996,13905402,12418359,344.56,3986444595,333946
Alabama,39560,5721,53876,43189,258.90,10944139,3467
Alaska,6470,1104,26066,24028,262.10,6077571,660
Arizona,14975,7770,170704,138093,235.57,32028264,4457
Arkansas,8078,4210,79224,38500,221.70,8169787,1001
California,266244,115439,2843448,2651703,316.92,772316834,70755
Colorado,48018,11610,234382,247143,373.67,91633412,7927
Connecticut,16816,8874,197484,186907,350.54,57522477,4082
Delaware,8658,792,41151,17380,291.80,4933542,417
District of Columbia,10540,2084,60870,47875,364.36,15252930,1118
Florida,48499,13318,350444,227427,245.92,54832837,13019
Georgia,58811,12897,467495,192935,290.78,52789821,3964
Hawaii,11127,2267,55914,50898,490.16,22285368,1184
Idaho,4849,1791,21312,16678,334.24,5332030,606
Illinois,102695,45739,776970,741039,358.13,263057620,14143
Indiana,127974,6484,156010,127576,253.19,31639376,1734
Iowa,8362,3710,73069,61116,396.97,22806572,1711
Kansas,11244,3192,56567,55281,406.37,21983522,1270
Kentucky,26224,3793,81714,75455,379.08,28638191,1181
Louisiana,17718,6033,190474,170293,177.65,29698545,3883
Maine,3898,1965,36710,32151,340.39,10415262,1108
Maryland,82470,5440,152340,101247,339.19,32770080,2574
Massachusetts,32921,12545,267131,259893,496.16,120713981,6889
Michigan,71152,20237,336821,256708,329.46,78427979,5945
Minnesota,21817,7964,231642,198895,416.23,77824262,5937
Mississippi,10980,3270,89707,59549,199.96,11344949,1087
Missouri,33536,6726,174748,130730,255.86,32236341,2808
Montana,2255,890,23588,12963,448.82,5075091,411
Nebraska,6432,1455,29685,21344,331.44,6923696,529
Nevada,9796,6165,195967,157479,334.38,53711808,4831
New Hampshire,4634,1024,27009,16585,285.06,4487430,349
New Jersey,52525,28132,624459,505519,476.38,219203429,9797
New Mexico,14478,2925,70293,62691,351.54,21239315,2124
New York,104551,39177,1166254,1102697,370.90,331087637,24077
North Carolina,44921,7334,146355,106661,250.75,25942714,5569
North Dakota,1609,948,12209,11622,423.96,4883135,434
Ohio,44180,8451,252011,166804,368.19,59930313,3043
Oklahoma,20656,5700,132651,119583,332.48,39119721,5614
Oregon,20912,9082,178240,137344,388.59,52916827,2129
Pennsylvania,228746,52593,595607,597031,366.32,207206440,9748
Puerto Rico,31732,8817,161620,129481,196.16,24913069,2190
Rhode Island,43010,4297,63968,48944,362.05,16843371,970
South Carolina,8586,5503,165467,72140,245.24,17786825,1940
South Dakota,839,314,6438,4136,329.82,1311630,67
Tennessee,26553,6810,186445,136174,216.96,29324091,5480
Texas,151818,41516,800948,571615,411.33,222457191,26582
Utah,6740,2953,46835,33256,415.50,13487471,1006
Vermont,1599,917,22198,20058,378.21,6404592,303
Virgin Islands,730,224,4566,3604,499.15,1740420,1217
Virginia,26400,21046,150506,143044,289.49,40341552,5570
Washington,44055,12817,280778,239937,476.51,100964454,5206
West Virginia,4024,2649,47933,38421,255.17,9529342,928
Wisconsin,47867,3558,208760,162497,289.31,40397450,2999
Wyoming,1217,555,8837,8374,403.01,3303967,225
United States,2044501,590827,12835900,10782693,343.67,3456208673,286265
Alabama,22572,3388,56526,33483,250.27,8199048,2520
Alaska,5964,1046,24491,22226,269.37,5789042,786
Arizona,13409,6166,170543,132931,236.06,31015607,4310
Arkansas,7627,2393,83501,37180,227.57,8017967,1713
California,278694,99257,2762194,2570271,318.99,759216691,67913
Colorado,45812,6922,231479,224675,375.06,83517963,6087
Connecticut,15473,7008,211874,206538,349.89,64544896,3375
Delaware,5178,849,34720,16685,280.10,4553732,362
District of Columbia,8727,2524,82213,53705,368.03,17639682,954
Florida,40332,12999,309911,182608,245.08,43809417,10638
Georgia,47872,11987,402979,191649,296.29,54640249,4266
Hawaii,10640,2481,63952,52206,499.08,24233705,891
Idaho,4077,1229,19719,15144,343.62,4945319,645
Illinois,89966,28964,812568,766515,355.22,269647967,12442
Indiana,47805,10040,175034,136521,260.82,34880212,2704
Iowa,7754,3773,70977,53530,402.90,20269114,1609
Kansas,9717,2453,54816,50795,412.72,20589874,1597
Kentucky,10170,2868,68953,62099,360.45,22416243,1072
Louisiana,9919,4234,175295,149721,180.67,26696451,2525
Maine,3259,1172,36825,32688,346.62,10757690,1201
Maryland,83215,5432,174968,112123,341.50,36743771,2267
Massachusetts,20395,10158,294629,269612,496.51,125970406,7245
Michigan,41982,20680,412485,283282,332.59,88342908,9612
Minnesota,23790,7393,246799,208177,416.53,81430005,7536
Mississippi,9575,1896,74871,49052,201.22,9472778,1292
Missouri,24850,5776,148625,118143,252.13,28600347,5466
Montana,2048,638,21305,12951,443.99,5078357,449
Nebraska,4256,1068,24411,19769,342.74,6591779,547
Nevada,7826,5252,159615,98934,450.73,45414062,5238
New Hampshire,2602,877,21017,15321,292.35,4261158,256
New Jersey,43900,12245,573927,483916,473.40,212948664,10184
New Mexico,17801,2629,77478,68545,352.36,23070612,1438
New York,76941,32741,1264252,1209877,369.62,364938665,22089
North Carolina,27545,6815,155595,110327,254.29,27204461,7412
North Dakota,1252,509,11519,10592,420.22,4372687,393
Ohio,46681,8205,249507,182969,373.95,66739753,3807
Oklahoma,13617,4432,124414,108616,351.87,37324248,5474
Oregon,25668,8603,194528,143110,408.26,57756127,1952
Pennsylvania,43017,22666,529836,512836,374.79,180640689,8752
Puerto Rico,9064,6891,168558,158625,195.06,30360675,2289
Rhode Island,16977,2847,62802,51080,363.28,17651178,1297
South Carolina,6334,3742,145877,71741,248.60,17907841,3619
South Dakota,701,220,5663,4160,341.45,1351875,63
Tennessee,24393,6001,174007,123251,223.66,27347180,6081
Texas,103867,34782,797350,569849,410.66,222073048,14167
Utah,7703,2538,44814,33724,425.73,14037258,1023
Vermont,1508,691,22524,19116,387.06,6290492,322
Virgin Islands,562,272,4023,3541,537.45,1822906,1812
Virginia,49863,16132,193514,115196,299.70,33627145,5036
Washington,41671,10502,266802,218940,483.08,94510231,4699
West Virginia,4876,2285,47763,39908,266.93,10338152,732
Wisconsin,32516,3332,232109,174821,288.77,42948105,3706
Wyoming,1202,442,8411,8309,409.74,3350863,237
United States,1503165,460445,12782568,10601583,347.81,3445899295,274102
Alabama,17862,3404,38216,30808,252.26,7624451,1994
Alaska,4951,1588,24399,17504,268.76,4558793,629
Arizona,22784,4329,112616,93967,236.23,21942224,3714
Arkansas,6339,1707,60220,24481,253.80,5907865,890
California,278170,87945,2155882,1974637,319.22,587764873,82637
Colorado,14878,7763,173107,143831,398.51,56858579,5521
Connecticut,11351,8395,126654,128490,369.68,41989135,4178
Delaware,4428,721,21616,12026,310.65,3639961,317
District of Columbia,22343,1062,58797,27052,376.56,9602770,796
Florida,74977,15333,230702,136871,246.13,33114533,6449
Georgia,28835,9902,308125,141809,297.05,40374721,3713
Hawaii,13478,3077,59979,44773,500.50,20920562,1196
Idaho,3356,825,13245,8832,366.16,3102051,428
Illinois,40350,39536,708333,584703,351.00,203190057,25263
Indiana,20667,5378,147548,100718,255.94,25328780,3104
Iowa,7176,3118,42501,43795,427.80,17623448,1445
Kansas,6822,1696,39498,35918,409.93,14465819,1346
Kentucky,13813,2474,53204,47870,359.76,17277808,1012
Louisiana,35725,14068,160876,152507,184.96,27935074,4519
Maine,2324,1648,28271,20007,345.22,6526403,743
Maryland,51582,5443,169514,111124,345.45,37053614,2417
Massachusetts,22235,20939,228835,263546,504.98,123338485,5833
Michigan,60588,15476,276997,208278,332.25,65774958,12109
Minnesota,21334,18722,226408,162799,419.14,64757851,5532
Mississippi,6627,1282,49879,30704,203.64,5982323,1012
Missouri,19050,3379,105075,84200,275.49,22261106,3199
Montana,2155,416,13368,7571,500.39,3242290,310
Nebraska,4894,616,16428,10975,361.11,3886313,401
Nevada,6852,6181,144218,103875,298.79,32798884,4069
New Hampshire,1868,830,12358,10140,308.44,2994798,263
New Jersey,31144,19503,510882,391004,476.20,172789577,17880
New Mexico,10297,2933,56450,46781,351.62,15957123,1907
New York,64516,38789,887385,861733,371.41,269442662,32874
North Carolina,52068,12702,169975,93694,231.51,21126167,4314
North Dakota,1065,291,6848,5778,450.24,2551151,326
Ohio,41389,6404,189830,133674,381.11,49668952,4286
Oklahoma,9701,2813,77960,70203,347.32,23775125,3720
Oregon,24655,12113,185187,115607,402.72,45884420,3506
Pennsylvania,79012,23043,433256,401913,399.07,152688227,9845
Puerto Rico,4406,4831,152562,119887,195.73,22948302,2857
Rhode Island,13392,1519,40805,32095,387.55,11739851,1102
South Carolina,6726,3754,97262,53084,266.29,13684095,2368
South Dakota,626,153,4192,2483,371.70,891125,53
Tennessee,29895,3559,117508,86317,232.19,19881755,4137
Texas,80203,24762,627712,461766,418.23,184063203,12532
Utah,5155,1824,31029,25023,438.72,10743902,952
Vermont,1747,950,13575,12913,398.38,4410582,427
Virgin Islands,417,165,3742,3660,548.47,1973483,1491
Virginia,37355,13756,191578,85248,302.64,25363729,3453
Washington,53103,10782,237574,185664,507.36,84652591,8645
West Virginia,3821,1555,32531,30693,283.10,8458030,882
Wisconsin,30472,4242,146251,103269,304.90,26674420,2838
Wyoming,1100,349,5919,5677,415.01,2312715,178
United States,1410079,478045,10026882,8091977,352.04,2683519716,305612
Alabama,15349,3393,30601,26259,252.97,6525944,1520
Alaska,5717,1260,23714,18099,266.56,4707887,364
Arizona,12970,3068,91116,65212,235.87,15201399,3383
Arkansas,5941,1930,50408,22359,257.58,5479978,1201
California,271921,104025,2104136,1860086,308.82,541167580,75634
Colorado,16667,4144,134068,115409,405.85,46541852,4891
Connecticut,10167,4424,109570,92522,383.75,32334646,3276
Delaware,2837,659,17570,12269,310.26,3413327,325
District of Columbia,20302,3020,82370,33255,394.91,12629556,844
Florida,67176,16513,226227,158563,240.65,37540946,53315
Georgia,27310,8885,282696,143316,307.78,43021103,5198
Hawaii,8312,2391,54454,41631,476.71,18745346,1341
Idaho,3805,1027,13227,8986,371.98,3196913,332
Illinois,32103,11736,524617,411712,350.78,143010581,16593
Indiana,38241,4010,126517,81980,256.60,20695291,4218
Iowa,8304,2547,36117,30443,443.58,12766521,908
Kansas,5873,1658,30523,31092,411.82,12571475,1258
Kentucky,17407,2128,49563,45506,371.68,16937604,876
Louisiana,11289,5163,109750,108335,187.97,20144661,5825
Maine,2793,614,21280,15147,346.74,4970738,497
Maryland,23607,5366,127905,111588,349.93,37550930,2174
Massachusetts,21521,9521,241915,208981,518.70,102489721,3156
Michigan,71791,10670,217996,155370,335.90,50454292,5517
Minnesota,21392,6146,211011,153154,409.05,59703335,4684
Mississippi,5469,1035,34130,22371,204.79,4384700,1067
Missouri,20117,3015,75353,53459,268.50,13740966,2357
Montana,3223,570,14014,7124,473.39,2985355,273
Nebraska,4063,624,14376,10151,367.33,3643156,372
Nevada,6538,3039,131573,80644,343.29,26450625,3170
New Hampshire,2049,655,9815,7239,320.19,2227419,207
New Jersey,32447,7800,416525,297711,482.17,133017801,11818
New Mexico,11628,2182,58760,47644,345.16,16080272,2100
New York,60858,27552,745996,663659,372.59,208281638,25461
North Carolina,24967,4449,140412,88420,226.08,19573868,5198
North Dakota,1166,286,5277,4319,472.41,2011034,248
Ohio,33507,6188,173399,106653,386.03,40161545,3473
Oklahoma,9917,2792,72566,61222,339.02,20239607,2937
Oregon,17973,4963,139605,106366,392.04,41059457,3558
Pennsylvania,45555,14277,435595,304082,408.93,119209706,8795
Puerto Rico,3933,4009,131902,108393,195.47,20636784,4065
Rhode Island,7139,1308,33402,25163,399.32,9578922,881
South Carolina,6069,3260,77738,46992,266.38,12183733,2189
South Dakota,739,139,3016,1914,380.89,708214,35
Tennessee,25197,2226,89763,56573,235.87,13230150,3200
Texas,71236,25733,560516,393098,415.37,155578828,13688
Utah,5697,1495,30057,19514,446.74,8534115,775
Vermont,1722,737,9626,9132,407.70,3326424,276
Virgin Islands,352,117,3364,3183,565.18,1781020,1047
Virginia,19660,4888,180602,57579,299.84,17029360,3069
Washington,35746,9906,186453,156815,527.92,76453661,4843
West Virginia,3461,1297,28416,24799,286.25,6898842,670
Wisconsin,26440,4658,121835,83448,310.02,22389955,2715
Wyoming,1686,459,6284,5485,424.57,2290995,159
United States,1211349,353957,8847721,6804426,350.24,2255489778,305976
Alabama,14771,3493,29023,28606,252.76,7127493,1816
Alaska,5998,2257,26140,27525,275.57,7428104,684
Arizona,11178,2837,70736,54598,235.61,12705627,2516
Arkansas,6221,1920,52021,18758,274.65,4888849,754
California,234790,71473,1840562,1563172,313.69,465676555,58557
Colorado,14220,3994,121494,107847,413.34,44245324,3487
Connecticut,12927,5060,92027,96844,403.96,35470500,2701
Delaware,3434,636,17343,11071,310.95,3360377,305
District of Columbia,8975,2080,62938,28125,389.23,10480722,709
Florida,24322,9390,181949,125113,241.77,29801360,3739
Georgia,17194,4134,210594,81790,307.64,24542420,3405
Hawaii,7119,2246,52027,42435,487.82,19507937,1068
Idaho,5799,1600,17060,11666,370.66,4134678,412
Illinois,46329,14604,482349,423149,354.93,148788961,13660
Indiana,22537,4495,107923,75266,259.32,19227880,2246
Iowa,9982,2691,48200,29593,445.80,12513463,804
Kansas,6175,1601,35434,30615,422.56,12718666,1073
Kentucky,12592,1906,60421,53479,399.75,21361659,719
Louisiana,7689,2841,80251,84535,194.62,16239810,3936
Maine,3855,1289,22462,18545,356.73,6215032,473
Maryland,15280,5190,102148,120254,345.02,40219410,2365
Massachusetts,31175,11959,231043,226820,538.39,116446770,5043
Michigan,50150,9746,230610,147498,443.74,63452531,5534
Minnesota,36661,11400,227179,186340,431.45,76878638,5509
Mississippi,5200,956,27371,18236,208.43,3637794,647
Missouri,15568,3332,68983,60873,275.03,16084266,2561
Montana,4754,1352,19365,12034,433.21,4655149,437
Nebraska,3841,634,13796,9827,375.11,3606357,367
Nevada,10087,3190,103386,81922,349.70,27278681,3105
New Hampshire,2180,574,9787,7246,324.42,2258172,171
New Jersey,34317,8140,400267,266145,488.46,120660315,10050
New Mexico,7122,2085,51739,40004,349.25,13679347,1098
New York,72473,28430,623323,699961,376.09,223286614,16533
North Carolina,21182,3754,107627,62025,230.33,14017614,2843
North Dakota,2831,869,8694,6896,478.97,3278104,265
Ohio,34283,6946,154903,105355,396.60,40912489,2940
Oklahoma,8881,3308,58040,54182,353.32,18657659,2204
Oregon,20302,6758,151807,118321,409.52,47772977,3100
Pennsylvania,39214,8525,394978,298276,418.23,119652231,8372
Puerto Rico,3357,2870,92843,88097,194.94,16759279,4286
Rhode Island,3745,1412,35400,27601,399.94,10543531,918
South Carolina,5121,2791,56773,33468,272.82,8801171,1698
South Dakota,1108,247,4318,2933,375.51,1083457,63
Tennessee,18013,2211,73263,48569,243.54,11726930,2383
Texas,66705,27054,524101,401014,426.64,163238457,13904
Utah,6088,2238,30105,22964,455.37,10250272,722
Vermont,2986,734,11393,9004,413.15,3378859,174
Virgin Islands,233,196,3740,3711,588.28,2157811,603
Virginia,76364,10825,53985,74513,273.18,19598971,3732
Washington,34681,10927,197862,148934,536.65,74320292,3382
West Virginia,3999,1825,30286,29661,299.35,8606546,630
Wisconsin,35194,7073,128082,86149,315.59,23826918,2113
Wyoming,2024,871,8033,8504,423.64,3546579,175
United States,1151226,328969,7846184,6420069,364.68,2220709608,210991
Alabama,11766,3101,29529,26029,251.83,6474745,1360
Alaska,5141,1947,28225,28743,282.11,7968410,256
Arizona,8058,2608,46365,40224,236.44,9402712,1211
Arkansas,7286,2054,40136,16798,275.52,4431114,581
California,237737,74233,1704533,1424094,320.39,436991028,51124
Colorado,14953,5857,123219,100235,420.49,41820719,3453
Connecticut,24298,8445,97434,95140,420.53,36330904,1911
Delaware,3583,834,16639,11289,300.06,3304341,218
District of Columbia,5358,870,31992,19296,389.08,7116572,589
Florida,22984,9666,204467,146147,243.06,34880853,5285
Georgia,16922,4718,97438,68080,312.92,20684447,1986
Hawaii,7764,2017,39400,36745,490.41,17018628,779
Idaho,8619,2713,24453,17187,368.56,6067311,402
Illinois,61680,23932,441350,401641,385.09,153554613,10551
Indiana,27640,4051,106759,65101,269.36,17309433,1571
Iowa,17762,7560,62543,61696,451.60,26730595,1103
Kansas,7507,2288,31947,31424,424.86,13158997,924
Kentucky,14339,2214,44434,42068,371.44,15647694,621
Louisiana,7663,2663,67755,69068,193.96,13232422,2590
Maine,4976,1903,25878,20803,372.33,7350925,472
Maryland,23291,5327,95524,104430,347.22,35263297,2518
Massachusetts,40184,15265,240182,226691,555.83,121852526,4534
Michigan,61798,14427,223847,153801,335.90,50193471,6463
Minnesota,44930,18703,268228,215787,471.62,98168535,5186
Mississippi,5640,998,25440,15160,210.38,3262903,521
Missouri,28871,3739,74430,60995,274.89,16248374,1979
Montana,5277,2288,25496,17239,456.20,7093706,376
Nebraska,5483,1008,15842,10343,378.31,3839508,252
Nevada,10762,3545,88970,68019,364.93,22745370,2550
New Hampshire,3058,793,10035,8970,302.79,2544319,164
New Jersey,49738,10956,422710,268359,495.15,123718982,9989
New Mexico,7078,2334,49300,37829,348.94,12976190,1038
New York,81083,32455,769329,632417,382.45,211437021,14433
North Carolina,12780,2642,84309,48698,233.26,11161106,4310
North Dakota,3903,1835,14675,12645,486.80,6112730,377
Ohio,43735,11299,168606,120734,408.66,48480141,2217
Oklahoma,8194,2962,51801,47943,346.36,16225928,3649
Oregon,22390,6849,126706,104029,415.55,42631648,2272
Pennsylvania,54106,12440,328152,227367,424.66,92194911,5573
Puerto Rico,4279,2276,75377,63513,195.75,12088535,2578
Rhode Island,6742,1945,31799,25231,405.45,9826843,633
South Carolina,6787,2795,48853,29688,273.84,7891410,1246
South Dakota,1954,676,7137,4910,397.17,1920661,50
Tennessee,19744,3477,61257,36764,234.93,8554238,1506
Texas,63379,25691,483104,399288,437.35,167367060,12561
Utah,7436,2948,32541,25224,454.10,11235651,574
Vermont,3628,1326,13467,12348,422.73,4870469,153
Virgin Islands,185,111,3920,3498,593.71,2061812,468
Virginia,15982,30837,154257,70954,360.48,25579040,911
Washington,41616,14579,206331,178840,547.40,91824717,3472
West Virginia,5610,2409,34251,31469,300.21,9219532,681
Wisconsin,39547,11356,149747,104186,327.88,30736263,1660
Wyoming,2150,878,8352,8791,425.30,3689009,152
United States,1247376,414843,7658471,6097968,376.45,2192492369,182033
