STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
Georgia,1353948,447682,2911704,1947987,269.09,503316771,4917
Hawaii,123958,57892,282942,207416,506.29,102776787,392
Idaho,60180,34357,269440,170528,303.09,48596669,1330
Illinois,517948,437299,2136252,1981798,357.34,704816520,7810
Indiana,349939,262912,1312658,1072748,272.72,286230600,739
Iowa,157324,135641,633362,652623,340.40,213451863,3338
Kansas,120681,88537,431433,357769,360.62,126408084,1420
Kentucky,417539,208678,958440,860305,356.64,306955618,606
Louisiana,330370,221108,992350,935016,195.32,175606961,1141
Maine,46687,48098,279109,264042,333.15,86870602,910
Maryland,267768,143915,840406,687573,333.02,224250704,2240
Massachusetts,353459,383921,1943962,1723282,531.09,909261601,7201
Michigan,677926,614369,3317182,2686557,333.15,876212170,7736
Minnesota,272310,3186,1581150,1444368,383.56,542283199,5915
Mississippi,157712,91489,457264,363510,206.18,72609861,630
Missouri,306982,171944,912413,854370,251.75,209548355,2543
Montana,45957,1311,224921,128678,367.68,44249154,1152
Nebraska,54881,21400,253934,132313,301.99,39050931,564
Nevada,207147,171822,1014528,825512,358.58,289677261,2221
New Hampshire,89948,58333,352524,205963,263.90,52551887,186
New Jersey,565952,320523,2024101,1817560,430.80,759617569,10984
New Mexico,61652,64270,300387,294877,314.11,89764660,982
New York,1163387,886925,5990530,4729185,361.70,1674931787,13209
North Carolina,478717,341830,1502185,1333269,242.44,309582744,5253
North Dakota,34781,35675,130882,144361,391.79,55895350,1437
Ohio,498852,392621,2634666,2066724,340.85,694177442,274
Oklahoma,219475,113553,484317,432471,336.34,144513419,1751
Oregon,212272,139256,969995,609397,443.25,267219766,2650
Pennsylvania,772678,668855,3968986,3206808,359.95,1110794776,9667
Puerto Rico,142673,86016,452050,375032,415.31,155040165,1899
Rhode Island,71616,57364,354871,348741,327.93,112542105,959
South Carolina,296188,201522,816746,724527,254.05,184495960,2575
South Dakota,20583,17816,81021,63742,292.17,18070357,143
Tennessee,269834,211730,1083174,1002427,227.99,222199975,2010
Texas,1197868,702478,3614022,2880564,358.22,990367706,15150
Utah,81018,63202,347078,227991,343.87,76716364,1250
Vermont,41114,46715,238945,218780,311.71,78074377,307
Virgin Islands,2654,883,5228,4880,408.84,1961537,63
Virginia,386126,597986,1294207,1244736,271.66,434760672,2588
Washington,475937,257741,1827312,1582263,447.51,661287513,5154
West Virginia,110111,73127,405736,354632,257.36,97268524,1420
Wisconsin,243208,183828,1225251,873386,297.29,242340494,3149
Wyoming,17150,11501,59752,60318,374.72,22277999,415
United States,17606753,12227308,66031203,55683268,334.30,18328669573,206020
Alabama,106301,70384,899144,820275,249.76,200641776,7455
Alaska,35424,11031,206439,171614,248.12,40806922,1306
Arizona,119809,59412,1034133,782641,240.68,182753379,2237
Arkansas,46153,31498,544426,465832,219.86,95966155,2403
California,1001409,872374,13411466,13118895,305.82,3940619018,58979
Colorado,75087,88883,1167327,1029297,375.25,376803227,3476
